parlamentarier_anzeige_name,parlamentarier_id
Suter Gabriela,370
Glur Christian,500
Schaffner Barbara,418
de Quattro Jacqueline,392
Wismer-Felder Priska,363
Flach Beat,83
Crevoisier Crelier Mathilde,438
Jauslin Matthias Samuel,314
Amaudruz Céline,44
Hurter Thomas,120
Hess Erich,287
Hegglin Peter,317
de Montmollin Simone,390
Bäumle Martin,51
Strupler Manuel,387
Reimann Lukas,172
Wandfluh Ernst,453
Gafner Andreas,376
Rechsteiner Thomas,414
Alijaj Islam,443
Baumann Kilian,358
Candan Hasan,449
Friedl Claudia,89
Gugger Niklaus-Samuel,327
Klopfenstein Broggini Delphine,403
Mahaim Raphaël,433
Schläfli Nina,487
Zopfi Mathias,380
Hübscher Martin,451
Müller-Altermatt Stefan,153
Stark Jakob,384
Walti Beat,251
Juillard Charles,402
Broulis Pascal,456
Bühler Manfred,271
Chassot Isabelle,429
Cottier Damien,388
Feller Olivier,79
Piller Carrard Valérie,168
Roth Pasquier Marie-France,417
Tuosto Brenda,494
Addor Jean-Luc,261
Gianini Simone,474
Quadri Lorenzo,170
Burkart Thierry,273
Guggisberg Lars,391
Häberli-Koller Brigitte,228
Regazzi Fabio,171
Heimgartner Stefanie,394
Wicki Hans,321
Z'graggen Heidi,352
Dettling Marcel,277
Rutz Gregor,182
Umbricht Pieren Nadja,167
de Courten Thomas,6
Sollberger Sandra,305
Farinelli Alex,393
Huber Alois,425
Thalmann-Bieri Veronika,462
Durrer Regina,471
Badertscher Christine,355
Rüegsegger Hans Jörg,485
Hess Lorenz,11
Riem Katja,444
Meier Andreas,439
Imark Christian,289
Andrey Gerhard,371
Arslan Sibel,264
Badran Jacqueline,49
Bertschy Kathrin,53
Bregy Philipp Matthias,340
Brenzikofer Florence,424
Bulliard-Marbach Christine,63
Calame Didier,468
Candinas Martin,65
Chiesa Marco,275
Clivaz Christophe,383
Crottaz Brigitte,330
Engler Stefan,223
Ettlin Erich,316
Fässler Daniel,76
Fivaz Fabien,395
Fonio Giorgio,472
Freymond Sylvain,473
Fridez Pierre-Alain,88
Friedli Esther,356
Giacometti Anna,374
Gmür-Schönenberger Andrea,284
Golay Roger,100
Graf Maya,102
Gredig Corina,348
Grüter Franz,285
Gutjahr Diana,328
Gysin Greta,396
Hässig Patrick,476
Jost Marc,437
Kutter Philipp,337
Lohr Christian,14
Martullo-Blocher Magdalena,294
Michaud Gigon Sophie,367
Müller Leo,149
Nicolet Jacques,298
Paganini Nicolò,333
Page Pierre-André,299
Porchet Léonore,410
Prelicz-Huber Katharina,411
Riniker Maja,415
Ritter Markus,178
Roduit Benjamin,331
Ruch Daniel,436
Salzmann Werner,301
Schlatter Marionna,349
Schneider-Schneiter Elisabeth,188
Steinemann Barbara,306
Storni Bruno,420
Vara Céline,421
Vontobel Erich,496
Walder Nicolas,422
Weichelt Manuela,386
Zybach Ursula,457
Masshardt Nadine,144
Fehlmann Rielle Laurence,280
Glättli Balthasar,98
Grossen Jürg,106
Gysi Barbara,110
Haab Martin,343
Jositsch Daniel,125
Nussbaumer Eric,161
Pult Jon,378
Ryser Franziska,346
Seiler Graf Priska,304
Sommaruga Carlo,192
Töngi Michael,334
Vincenz-Stauffacher Susanne,361
Wehrli Laurent,310
Schneeberger Daniela,21
Würth Benedikt,345
Herzog Eva,382
Wettstein Felix,354
Blunschy Dominik,445
Christ Katja,369
Gössi Petra,101
Michel Simon,442
Müller Damian,318
Silberschmidt Andri,353
Jaccoud Jessica,460
Giezendanner Benjamin,360
Maret Marianne,406
Walliser Bruno,309
Michel Matthias,400
Götte Michael,441
Gapany Johanna,381
Trede Aline,198
Schmid Martin,242
Marti Min Li,293
Nause Reto,446
Wasserfallen Flavia,335
Binder-Keller Marianne,364
Egger Mike,341
Molina Fabian,332
Bischof Pirmin,219
Dobler Marcel,278
Wasserfallen Christian,210
Weber Céline,431
Stettler Thomas,491
Zryd Andrea,498
Schnyder Markus,489
Kälin Irène,329
Schmezer Ueli,501
Tschopp Jean,459
Wermuth Cédric,211
Rieder Beat,319
Kolly Nicolas,479
Kaufmann Pius,478
Schneider Meret,350
Knutti Thomas,452
Hug Roman,477
Aeschi Thomas,41
Rüegger Monika,379
Buffat Michaël,270
Burgherr Thomas,272
Caroni Andrea,66
Fischer Benjamin,432
Gartmann Walter,458
Germann Hannes,227
Glarner Andreas,283
Graber Michael,427
Heer Alfred,116
Kamerzin Sidney,399
Pfister Gerhard,166
Riner Christoph,454
Schilliger Peter,185
Stadler Simon,419
Zuberbühler David,312
Pahud Yvan,481
Dittli Josef,315
Tuena Mauro,307
von Falkenstein Patricia,430
Amoos Emmanuel,428
Roth David,484
Stämpfli Fabienne,502
Mühlemann Benjamin,480
Bürgi Roman,466
Meyer Mattea,296
Fehr Düsel Nina,448
Rosenwasser Anna,447
Rumy Farah,486
Sormanni Daniel,490
Gobet Nadine,475
Nantermod Philippe,297
Sauter Regine,302
De Ventura Linda,499
Matter Thomas,250
Bendahan Samuel,323
Büchel Roland,60
