parlamentarier_anzeige_name,parlamentarier_id,parlamentarier_nachname,parlamentarier_vorname,parlamentarier_zweiter_vorname,parlamentarier_rat,parlamentarier_kanton,parlamentarier_partei,parlamentarier_fraktion,parlamentarier_kommissionen,parlamentarier_im_rat_seit,parlamentarier_im_rat_bis,parlamentarier_geschlecht,parlamentarier_geburtstag,parlamentarier_parlament_biografie_id,parlamentarier_parlament_number,parlamentarier_sprache,parlamentarier_arbeitssprache,interessenbindung_beschreibung,interessenbindung_von,interessenbindung_bis,interessenbindung_art,interessenbindung_funktion_im_gremium,interessenbindung_deklarationstyp,interessenbindung_status,interessenbindung_hauptberuflich,interessenbindung_behoerden_vertreter,interessenbindung_wirksamkeit,organisation_id,verguetung,verguetung_jahr,verguetung_beschreibung,organisation_name_de,organisation_uid,organisation_name_fr,organisation_ort,organisation_rechtsform,organisation_rechtsform_handelsregister,organisation_rechtsform_zefix,organisation_typ,organisation_vernehmlassung,gruppe_spalte,interessengruppe,Hauptcode,Hauptkategorie,Subcode,Subkategorie
"Suter, Gabriela",370,Suter,Gabriela,NA,NR,AG,SP,S,"GPK-N, UREK-NR",2019-12-01T00:00:00Z,NA,F,1972-12-12T00:00:00Z,4295,3187,de,de,NA,NA,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,NA,tief,7218,0,2025,Ehrenamtlich,Aarau Mobil,NA,NA,Aarau,Verein,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Langsamverkehr,6,Verkehrssektor und Mobilität,6.6,Verkehr allgemein
"Glur, Christian",500,Glur,Christian,NA,NR,AG,SVP,V,RK-N,2024-12-16T00:00:00Z,NA,M,1975-10-21T00:00:00Z,14803,14803,de,de,NA,NA,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,N,tief,10440,1,2025,Bezahlt,Aarg. Verband für Landtechnik AVLT Voegeli Thomas,CHE-113.128.934,NA,Wildegg,Verein,0109,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Landwirtschaftstechnik,5,Landwirtschaft und Ernährungssysteme,5.5,Landwirtschaftsnahe Forschung
"Riniker, Maja",415,Riniker,Maja,NA,NR,AG,FDP,RL,"Bü-N, Bü-VBV-V, SiK-NR",2019-12-02T00:00:00Z,NA,F,1978-05-23T00:00:00Z,4313,3209,de,de,NA,NA,NA,mitglied,NA,nicht deklarationspflicht,deklariert,0,NA,tief,6980,-1,2025,Bezahlendes Mitglied,Aargauer Wanderwege,CHE-113.528.417,NA,Oberentfelden,Verein,0109,NA,"EinzelOrganisation,MitgliedsOrganisation",nie,organisation_interessengruppe1,Tourismus/Gastronomie,12,Tourismus,12.3,Nachhaltiger Tourismus
"Meier, Andreas",439,Meier,Andreas,NA,NR,AG,M,M-E,"GPK-N, WBK-NR",2023-02-27T00:00:00Z,NA,M,1962-02-11T00:00:00Z,4333,3228,de,de,NA,2021-10-22T00:00:00Z,NA,vorstand,mitglied,deklarationspflichtig,nicht-deklariert,0,N,tief,805,0,2025,Ehrenamtlich,Aargauische Stiftung für Freiheit und Verantwortung in Politik und Wirtschaft,CHE-101.949.976,NA,Aarau,Stiftung,0110,7,"EinzelOrganisation,LeistungsErbringer",nie,organisation_interessengruppe1,Staatspolitik allgemein,13,Freiheit & liberale Bewegungen,NA,NA
"Schaffner, Barbara",418,Schaffner,Barbara,NA,NR,ZH,GLP,GL,"Del FL-V, KVF-NR",2019-12-02T00:00:00Z,NA,F,1968-07-28T00:00:00Z,4287,3179,de,de,NA,2020-10-09T00:00:00Z,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,NA,mittel,1124,2000,2025,NA,ADEV Energiegenossenschaft,CHE-103.476.227,NA,Liestal,Genossenschaft,0108,5,DachOrganisation,punktuell,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.2,Erneuerbare Energie
"Schaffner, Barbara",418,Schaffner,Barbara,NA,NR,ZH,GLP,GL,"Del FL-V, KVF-NR",2019-12-02T00:00:00Z,NA,F,1968-07-28T00:00:00Z,4287,3179,de,de,NA,2020-10-09T00:00:00Z,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,NA,tief,7585,3000,2025,NA,ADEV Solarstrom AG,CHE-100.987.514,NA,Liestal,AG,0106,3,MitgliedsOrganisation,nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.2,Erneuerbare Energie
"de Quattro, Jacqueline",392,de Quattro,Jacqueline,NA,NR,VD,FDP,RL,"IK-NR, NATO-V, SiK-NR",2019-10-20T00:00:00Z,NA,F,1960-06-24T00:00:00Z,4257,3149,de,fr,NA,2022-01-01T00:00:00Z,NA,vorstand,vizepraesident,deklarationspflichtig,deklariert,0,NA,mittel,1136,0,2022,Ehrenamtlich,AEE SUISSE - Dachorganisation der Wirtschaft für erneuerbare Energien und Energieeffizienz,CHE-113.557.212,AEE SUISSE - Association faîtière de l'économie des énergies renouvelables et de l'efficacité énergétique,Bern,Verein,0109,NA,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.2,Erneuerbare Energie
"Schaffner, Barbara",418,Schaffner,Barbara,NA,NR,ZH,GLP,GL,"Del FL-V, KVF-NR",2019-12-02T00:00:00Z,NA,F,1968-07-28T00:00:00Z,4287,3179,de,de,NA,2024-04-11T00:00:00Z,NA,vorstand,vizepraesident,deklarationspflichtig,deklariert,0,N,mittel,1136,NA,NA,NA,AEE SUISSE - Dachorganisation der Wirtschaft für erneuerbare Energien und Energieeffizienz,CHE-113.557.212,AEE SUISSE - Association faîtière de l'économie des énergies renouvelables et de l'efficacité énergétique,Bern,Verein,0109,NA,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.2,Erneuerbare Energie
"Suter, Gabriela",370,Suter,Gabriela,NA,NR,AG,SP,S,"GPK-N, UREK-NR",2019-12-01T00:00:00Z,NA,F,1972-12-12T00:00:00Z,4295,3187,de,de,NA,2024-04-11T00:00:00Z,NA,vorstand,vizepraesident,deklarationspflichtig,deklariert,0,N,hoch,1136,6000,2025,NA,AEE SUISSE - Dachorganisation der Wirtschaft für erneuerbare Energien und Energieeffizienz,CHE-113.557.212,AEE SUISSE - Association faîtière de l'économie des énergies renouvelables et de l'efficacité énergétique,Bern,Verein,0109,NA,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.2,Erneuerbare Energie
"Wismer-Felder, Priska",363,Wismer-Felder,Priska,NA,NR,LU,M,M-E,"GPK-N, UREK-NR",2019-10-20T00:00:00Z,NA,F,1970-10-02T00:00:00Z,4305,3202,de,de,Co-Präsidentin,2024-04-11T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,hoch,1136,NA,NA,NA,AEE SUISSE - Dachorganisation der Wirtschaft für erneuerbare Energien und Energieeffizienz,CHE-113.557.212,AEE SUISSE - Association faîtière de l'économie des énergies renouvelables et de l'efficacité énergétique,Bern,Verein,0109,NA,"DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.2,Erneuerbare Energie
