"url","eingereicht_am","mitunterzeichner"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253924","20.06.2025","Candan Hasan, Alijaj Islam, Arslan Sibel, Bally Maya, Barandun Nicole, Baumann Kilian, Bendahan Samuel, Brenzikofer Florence, Calame Didier, Candinas Martin, Chollet Clarence, Clivaz Christophe, de Courten Thomas, De Ventura Linda, Flach Beat, Friedl Claudia, Giacometti Anna, Grossen Jürg, Hess Lorenz, Kaufmann Pius, Knutti Thomas, Mahaim Raphaël, Meier Andreas, Pfister Gerhard, Porchet Léonore, Prelicz-Huber Katharina, Pult Jon, Rechsteiner Thomas, Roduit Benjamin, Rosenwasser Anna, Roth David, Schaffner Barbara, Schläfli Nina, Schlatter Marionna, Schmezer Ueli, Schneider Meret, Seiler Graf Priska, Storni Bruno, Töngi Michael, Tschopp Jean, Tuosto Brenda, Walder Nicolas, Weichelt Manuela, Zybach Ursula"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253871","20.06.2025","Suter Gabriela, Christ Katja, de Quattro Jacqueline, Flach Beat, Grossen Jürg, Jauslin Matthias Samuel, Pult Jon, Schaffner Barbara, Schlatter Marionna, Storni Bruno"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253826","20.06.2025","Schneider Meret, Arslan Sibel, Bally Maya, Baumann Kilian, Bläsi Thomas, Brenzikofer Florence, Brizzi Simona, Candan Hasan, Clivaz Christophe, Crottaz Brigitte, De Ventura Linda, Fehlmann Rielle Laurence, Fehr Düsel Nina, Friedl Claudia, Gafner Andreas, Giacometti Anna, Glättli Balthasar, Grossen Jürg, Jauslin Matthias Samuel, Maitre Vincent, Nantermod Philippe, Porchet Léonore, Prelicz-Huber Katharina, Quadri Lorenzo, Reimann Lukas, Roduit Benjamin, Rosenwasser Anna, Rüegsegger Hans Jörg, Schläfli Nina, Schlatter Marionna, Schmezer Ueli, Seiler Graf Priska, Sormanni Daniel, Stadler Simon, Steinemann Barbara, Suter Gabriela, Töngi Michael, Walder Nicolas, Weichelt Manuela, Wismer-Felder Priska, Zybach Ursula"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253669","ngIf: businessRole.ParlGroups.ParlGroupName FDP-Liberale Fraktion end ngIf: businessRole.ParlGroups.ParlGroupName","FDP-Liberale Fraktion, Giacometti Anna"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253494","07.05.2025","Zybach Ursula, Candan Hasan, Wermuth Cédric, Wettstein Felix, Zryd Andrea"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253489","07.05.2025","Wandfluh Ernst, Badertscher Christine, Bühler Manfred, Candinas Martin, de Quattro Jacqueline, Durrer Regina, Egger Mike, Gafner Andreas, Graber Michael, Grossen Jürg, Guggisberg Lars, Gysin Greta, Huber Alois, Kaufmann Pius, Nussbaumer Eric, Pult Jon, Riem Katja, Ritter Markus, Rüegger Monika, Rüegsegger Hans Jörg, Schmezer Ueli, Stadler Simon, Stämpfli Fabienne, Trede Aline, Vontobel Erich, Wandfluh Ernst, Wismer-Felder Priska, Zryd Andrea"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253198","20.03.2025","Marti Min Li, Alijaj Islam, Andrey Gerhard, Candan Hasan, Crottaz Brigitte, De Ventura Linda, Friedl Claudia, Meyer Mattea, Rosenwasser Anna, Roth David, Rumy Farah, Schläfli Nina, Schmezer Ueli, Seiler Graf Priska, Tschopp Jean, Wermuth Cédric, Widmer Céline, Wyss Sarah, Zryd Andrea, Zybach Ursula"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253027","ngIf: businessRole.Committees.CommitteeName Kommission für Umwelt, Raumplanung und Energie Nationalrat end ngIf: businessRole.Committees.CommitteeName","Kommission für Umwelt, Raumplanung und Energie Nationalrat"
NA,NA,NA
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244674","20.12.2024","Schneider Meret, Aebischer Matthias, Arslan Sibel, Brenzikofer Florence, Candan Hasan, Clivaz Christophe, Fehlmann Rielle Laurence, Fivaz Fabien, Flach Beat, Giacometti Anna, Glättli Balthasar, Kälin Irène, Klopfenstein Broggini Delphine, Mahaim Raphaël, Porchet Léonore, Prelicz-Huber Katharina, Rosenwasser Anna, Ryser Franziska, Schläfli Nina, Schlatter Marionna, Seiler Graf Priska, Suter Gabriela, Töngi Michael, Trede Aline, Vontobel Erich, Walder Nicolas, Weichelt Manuela, Wettstein Felix"
